epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4715.03,0.45315,0.83969,1.03827,1.00821,0.78289,0.66017,0.7573,0.62379,0.77314,0.65365,0.7493,0.62416,0.67241,1.13059,1.17058,1.23366,6.4612e-05,6.4612e-05,6.4612e-05
30,4878.03,0.45612,0.84694,1.02942,1.01072,0.76213,0.66991,0.76087,0.62704,0.75708,0.66234,0.75506,0.62766,0.6681,1.12415,1.16903,1.23109,6.1741e-05,6.1741e-05,6.1741e-05
31,5041.79,0.45913,0.84796,1.02312,1.01155,0.79562,0.68002,0.76984,0.63506,0.78317,0.67467,0.76202,0.63247,0.66531,1.14403,1.14815,1.22988,5.887e-05,5.887e-05,5.887e-05
32,5203.84,0.4523,0.82321,1.00328,1.00734,0.7648,0.68005,0.76901,0.63788,0.75916,0.67357,0.76112,0.6336,0.65716,1.12295,1.13263,1.22519,5.5999e-05,5.5999e-05,5.5999e-05
33,5363.8,0.45406,0.83476,0.97753,1.00432,0.80419,0.68253,0.77464,0.64489,0.80112,0.68143,0.77139,0.64354,0.64308,1.1132,1.11431,1.20871,5.3128e-05,5.3128e-05,5.3128e-05
34,5524.08,0.44465,0.81396,0.96675,1.0011,0.77988,0.68134,0.76858,0.63536,0.76128,0.69218,0.76632,0.63857,0.64756,1.11769,1.15106,1.2101,5.0257e-05,5.0257e-05,5.0257e-05
35,5683.48,0.43913,0.79846,0.95647,1.00015,0.76112,0.71478,0.77677,0.64824,0.75583,0.70788,0.77135,0.64495,0.65167,1.13301,1.10364,1.22574,4.7386e-05,4.7386e-05,4.7386e-05
36,5846.65,0.4404,0.80123,0.93904,0.99999,0.79408,0.68075,0.77442,0.64658,0.78647,0.67603,0.76749,0.64229,0.65471,1.15385,1.11525,1.23021,4.4515e-05,4.4515e-05,4.4515e-05
37,6010.72,0.44008,0.8033,0.92756,1.0005,0.74611,0.70654,0.77288,0.64389,0.74083,0.70157,0.76596,0.64445,0.62963,1.11141,1.11315,1.19367,4.1644e-05,4.1644e-05,4.1644e-05
38,6172.29,0.43393,0.80115,0.91872,0.9951,0.75515,0.71268,0.77534,0.64595,0.74629,0.70466,0.7663,0.64503,0.63795,1.11917,1.10162,1.20299,3.8773e-05,3.8773e-05,3.8773e-05
39,6335.01,0.43073,0.80978,0.90894,0.99464,0.81831,0.66739,0.77313,0.65128,0.81272,0.66036,0.76443,0.64291,0.65212,1.12911,1.10217,1.22644,3.5902e-05,3.5902e-05,3.5902e-05
40,6494.2,0.42805,0.78735,0.89808,0.99075,0.76631,0.71635,0.78039,0.65572,0.7616,0.71294,0.77446,0.65388,0.64085,1.13589,1.09103,1.20717,3.3031e-05,3.3031e-05,3.3031e-05
41,6670.46,0.38488,0.6817,0.64116,1.03372,0.76375,0.70123,0.76789,0.63723,0.75621,0.69884,0.76268,0.63703,0.64855,1.12074,1.12537,1.21029,3.016e-05,3.016e-05,3.016e-05
42,6814.45,0.36378,0.63767,0.58845,1.0094,0.79393,0.69286,0.77733,0.64897,0.78831,0.68825,0.77366,0.64487,0.64676,1.16249,1.08623,1.21546,2.7289e-05,2.7289e-05,2.7289e-05
43,6962.09,0.35025,0.62017,0.55477,0.99929,0.80531,0.69702,0.78046,0.6544,0.79391,0.68941,0.7718,0.64889,0.64094,1.14738,1.08045,1.21228,2.4418e-05,2.4418e-05,2.4418e-05
44,7107.14,0.34805,0.61082,0.54666,0.99713,0.78018,0.69291,0.78001,0.65564,0.77461,0.69162,0.77544,0.64753,0.63655,1.13332,1.06279,1.20156,2.1547e-05,2.1547e-05,2.1547e-05
45,7253.56,0.33718,0.60818,0.52489,0.98756,0.79253,0.69511,0.77891,0.65947,0.77371,0.69203,0.76914,0.65084,0.62729,1.15092,1.06813,1.20069,1.8676e-05,1.8676e-05,1.8676e-05
46,7404.87,0.33309,0.59739,0.50196,0.98529,0.79955,0.69259,0.78309,0.66339,0.78859,0.68719,0.77433,0.65315,0.62602,1.14069,1.05767,1.19813,1.5805e-05,1.5805e-05,1.5805e-05
47,7553.46,0.32618,0.58764,0.49425,0.97857,0.80125,0.68864,0.78408,0.66535,0.79407,0.68501,0.77629,0.65653,0.62887,1.14865,1.05099,1.20154,1.2934e-05,1.2934e-05,1.2934e-05
48,7703.21,0.32477,0.59405,0.48367,0.97507,0.76681,0.71704,0.78225,0.66355,0.76078,0.71214,0.77531,0.65607,0.62489,1.15424,1.04825,1.19326,1.0063e-05,1.0063e-05,1.0063e-05
49,7851.71,0.31914,0.58267,0.47574,0.96857,0.78643,0.69857,0.78013,0.66344,0.78306,0.69671,0.77564,0.65356,0.62624,1.16237,1.04454,1.19544,7.192e-06,7.192e-06,7.192e-06
50,8002.35,0.3154,0.57494,0.47,0.96635,0.78068,0.69859,0.7825,0.66551,0.77828,0.69654,0.77741,0.65728,0.62788,1.15291,1.03697,1.19913,4.321e-06,4.321e-06,4.321e-06
